#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	  38.64628	  -0.00000	  38.47209	   0.00000	 115.76466	 184.38926
  0	 29	  37.79257	  -0.00000	  37.64109	   0.00000	 113.22622	 181.88360
  0	 28	  36.90743	  -0.00000	  36.77539	   0.00000	 110.59024	 179.31313
  0	 27	  35.99317	  -0.00000	  35.87777	   0.00000	 107.86410	 176.68514
  0	 26	  35.05248	  -0.00000	  34.95135	   0.00000	 105.05631	 174.00800
  0	 25	  34.08845	  -0.00000	  33.99956	   0.00000	 102.17646	 171.29112
  0	 24	  33.10454	  -0.00000	  33.02617	   0.00000	  99.23524	 168.54495
  0	 23	  32.10457	  -0.00000	  32.03526	   0.00000	  96.24441	 165.78098
  0	 22	  31.09275	  -0.00000	  31.03124	   0.00000	  93.21675	 163.01171
  0	 21	  30.07361	  -0.00000	  30.01882	   0.00000	  90.16603	 160.25052
  0	 20	  29.05196	  -0.00000	  29.00298	   0.00000	  87.10690	 157.51170
  0	 19	  28.03292	  -0.00000	  27.98896	   0.00000	  84.05479	 154.81026
  0	 18	  27.02182	  -0.00000	  26.98221	   0.00000	  81.02584	 152.16188
  0	 17	  26.02420	  -0.00000	  25.98835	   0.00000	  78.03674	 149.58278
  0	 16	  25.04572	  -0.00000	  25.01314	   0.00000	  75.10458	 147.08955
  0	 15	  24.09217	  -0.00000	  24.06241	   0.00000	  72.24675	 144.69905
  0	 14	  23.16934	  -0.00000	  23.14202	   0.00000	  69.48070	 142.42819
  0	 13	  22.28302	  -0.00000	  22.25781	   0.00000	  66.82386	 140.29382
  0	 12	  21.43891	  -0.00000	  21.41554	   0.00000	  64.29336	 138.31252
  0	 11	  20.64258	  -0.00000	  20.62078	   0.00000	  61.90595	 136.50042
  0	 10	  19.89940	  -0.00000	  19.87895	   0.00000	  59.67775	 134.87306
  0	  9	  19.21446	  -0.00000	  19.19517	   0.00000	  57.62409	 133.44516
  0	  8	  18.59255	  -0.00000	  18.57424	   0.00000	  55.75934	 132.23048
  0	  7	  18.03808	  -0.00000	  18.02060	   0.00000	  54.09676	 131.24166
  0	  6	  17.55504	  -0.00000	  17.53824	   0.00000	  52.64832	 130.49005
  0	  5	  17.14693	  -0.00000	  17.13069	   0.00000	  51.42455	 129.98558
  0	  4	  16.81675	  -0.00000	  16.80094	   0.00000	  50.43444	 129.73662
  0	  3	  16.56694	  -0.00000	  16.55144	   0.00000	  49.68533	 129.74990
  0	  2	  16.39936	  -0.00000	  16.38407	   0.00000	  49.18278	 130.03039
  0	  1	  16.31525	  -0.00000	  16.30007	   0.00000	  48.93057	 130.58126

  1	 30	  37.79257	  -0.00000	  37.64109	   0.00000	 113.22622	 180.35091
  1	 29	  36.87465	  -0.00000	  36.74326	   0.00000	 110.49257	 177.65077
  1	 28	  35.92296	  -0.00000	  35.80871	   0.00000	 107.65463	 174.87980
  1	 27	  34.93996	  -0.00000	  34.84036	   0.00000	 104.72027	 172.04578
  1	 26	  33.92854	  -0.00000	  33.84148	   0.00000	 101.69856	 169.15761
  1	 25	  32.89202	  -0.00000	  32.81570	   0.00000	  98.59973	 166.22535
  1	 24	  31.83412	  -0.00000	  31.76701	   0.00000	  95.43525	 163.26020
  1	 23	  30.75897	  -0.00000	  30.69977	   0.00000	  92.21770	 160.27447
  1	 22	  29.67107	  -0.00000	  29.61867	   0.00000	  88.96081	 157.28155
  1	 21	  28.57528	  -0.00000	  28.52875	   0.00000	  85.67932	 154.29582
  1	 20	  27.47682	  -0.00000	  27.43533	   0.00000	  82.38896	 151.33259
  1	 19	  26.38115	  -0.00000	  26.34401	   0.00000	  79.10631	 148.40800
  1	 18	  25.29402	  -0.00000	  25.26064	   0.00000	  75.84869	 145.53889
  1	 17	  24.22139	  -0.00000	  24.19126	   0.00000	  72.63403	 142.74269
  1	 16	  23.16934	  -0.00000	  23.14202	   0.00000	  69.48070	 140.03723
  1	 15	  22.14409	  -0.00000	  22.11920	   0.00000	  66.40737	 137.44063
  1	 14	  21.15187	  -0.00000	  21.12908	   0.00000	  63.43282	 134.97108
  1	 13	  20.19890	  -0.00000	  20.17792	   0.00000	  60.57573	 132.64670
  1	 12	  19.29133	  -0.00000	  19.27191	   0.00000	  57.85456	 130.48530
  1	 11	  18.43512	  -0.00000	  18.41705	   0.00000	  55.28729	 128.50425
  1	 10	  17.63605	  -0.00000	  17.61914	   0.00000	  52.89124	 126.72026
  1	  9	  16.89961	  -0.00000	  16.88369	   0.00000	  50.68290	 125.14916
  1	  8	  16.23093	  -0.00000	  16.21585	   0.00000	  48.67772	 123.80577
